naturalidade,normalizada
Alcangosta,Alcongosta
Baia Brasil,"Salvador, Brasil"
Baía de Todos os Santos,"Salvador, Brasil"
Baía Brasil,"Salvador, Brasil"
"Baia, Brasil","Salvador, Brasil"
"Baía, Brasil","Salvador, Brasil"
Baía,"Salvador, Brasil"
Baia,"Salvador, Brasil"
Ribeira de Litém,Santiago de Litém
Rio de Janeiro,"Rio de Janeiro, Brasil"
Roma,"Roma, Itália"
Santa Eulália da Palmeira,"Palmeira, Santo Tirso"
Santa Eulália de Barrosas,"Santa Eulália, Vizela"
Abravezes,Abraveses
Arrifana de Sousa,Penafiel
"Arrifana de Sousa, Penafiel",Penafiel
Arrifana do Sousa,Penafiel
Benviver,Bem-Viver
Cabeceira de Basto,Cabeceiras de Basto
Casais do Campo,"Casais, S. Martinho do Bispo, Coimbra"
"Farinha Podre, hoje São Pedro de Alva",São Pedro de Alva
"Funchal, Ilha da Madeira","Funchal, Madeira"
Ilha de S. Tomé,S.Tomé e Príncipe
"Lagoa, Ilha de São Miguel, Açores","Lagoa, Açores"
Landroal,Alandroal
"Lavarrabos, hoje São João do Campo",São João do Campo
Mondim,Mondim de Basto
Panascoso,Penhascoso
Penavrde,Pena Verde
"Punhete, hoje Constância",Constância
Ribeira da Pena,Ribeira de Pena
"São João de El-Rei, Minas Gerais, Brasil","São João del-Rei, Minas Gerais, Brasil"
"São Paio de Farinha Podre, hoje São Pedro de Alva",São Pedro de Alva
São Tiago de Besteiros,Santiago de Besteiros
São Tiago de Cacém,Santiago do Cacém
Sebal Grande,"Sebal, Condeixa-a-Nova"
Souzel,Sousel
"Tuias, Marco de Canaveses","Tuias, Marco de Canaveses"
Vendas dos Moinhos,Venda dos Moinhos
"Vila Cova de Sub-Avô, hoje Vila Cova de Alva",Vila Cova de Alva
Vila Cova de Sub-Avô,Vila Cova de Alva
Vila Cova de Sub Avô,Vila Cova de Alva
Vila Nova de Portimão,Portimão
Adémia de Baixo,Adémia
Huila (Mossamedes),"Moçamedes,Angola"
Viana,Viana do Castelo
São Tiago da Guarda,Santiago da Guarda
Merciana,Merceana
Ilgares,Ligares
Bretiande,Britiande
"Bretiande, Lamego",Britiande
Taboaço,Tabuaço
Vila Nova de Ourém,Ourém
Ribeira de Fragoas,Ribeira de Fráguas
Cernache dos Alhos,Cernache
"Lagoa, Algarve","Lagoa, Portugal"
"Lagos, Algarve","Lagos, Portugal"
"Algarve, Faro",Faro
"Algarve, Lagos","Lagos, Portugal"
"Algarve, Loulé",Loulé
"Algarve, Silves",Silves
"Ponta Delgada, Ilha de São Miguel, Açores","Ponta Delgada, Açores"
Cedavim,Cedovim
Facalamim,Ansião
Sandelgas,S. Martinho de Árvore
Passos de Silgueiros,Silgueiros
Souzelas,Souselas
Chão do Couce,Chão de Couce
Ardazubre,"Lamarosa, Coimbra"
São João de Longos Vales,Longos Vales
São Tiago de Custóias,"Custóias, Matosinhos"
São Martinho do Lago,"Lago, Amares"
